Biotsiidi kaubanduslik nimetus;Toimeaine;CAS nr.;Biotsiidi tooteliik;Biotsiidi registreerimistunnistuse kehtivuse aeg;Biotsiidi registreerimistunnistuse omanik;Toimeaine sisaldus;Märkused
BROS 007 roomavate putukate pihusti;α-tsüano-3-fenoksübensüül-2,2-dimetüül-3-(2-metüülprop-1-enüül)tsüklopropaankarboksülaat;39515-40-7;Tooteliik 18;1.02.2020;BROS Sp.j.;0,001;"Tavatarbijale kasutamiseks; Komisjoni rakendusmäärus (EL) 2018/1292"
Fungitrol® L20 TEX;3-jodo-2-propünüülbutüülkarbamaat (IPBC);55406-53-6;Tooteliik 6, 7, 9, 10, 13;31.12.2024;"ISP (Switzerland) AG; Alates 20.10.2015:; Troy Chemical Company BV;";0,2;"Kutsealaseks kasutamiseks; Komisjoni rakendusmäärus (EL) nr 1037/2013 (TL6) ; Komisjoni rakendusmäärus (EL) 2015/1728 (TL13)"
Fungitrol® 940G;3-jodo-2-propünüülbutüülkarbamaat (IPBC);55406-53-6;Tooteliik 6, 7, 10;31.12.2024;"ISP (Switzerland) AG; Alates 20.10.2015:; Troy Chemical Company BV";0,4;"Kutsealaseks kasutamiseks; Komisjoni rakendusmäärus (EL) nr 1037/2013 (TL6)"
"BROS Sambla eemaldaja; Alates 15.12.2014; BROS Vedelik vetikate, sambla ja samblike eemaldamiseks";Kvaternaarsete ammooniumühendite, bensüül-C12-16-alküüldimetüülkloriidid;68424-85-1;Tooteliik 10;31.12.2024;BROS Sp.j.;0,0125;Tavatarbijale kasutamiseks
Suma Tab D4 Tab;Naatriumdikloroisotsüanuraat dihüdraat;51580-86-0;Tooteliik 2, 4;31.12.2024;Diversey Polska Sp. z.o.o.;997 g/kg;Kutsealaseks ja tööstuslikuks kasutamiseks
Divosan Extra;Kvaternaarsete ammooniumühendite, bensüül-C12-16-alküüldimetüülkloriidid;68424-85-1;Tooteliik 2, 4;31.12.2024;Diversey Polska Sp. z.o.o.;150 g/kg;Kutsealaseks ja tööstuslikuks kasutamiseks
Divosan Hypochlorite;Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 4;1.01.2022;Diversey Polska Sp. z.o.o.;100 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Divodes FG;"1) Propaan-2-ool ; 2) Propaan-1-ool";"1) 67-63-0; 2) 71-23-8";Tooteliik 2, 4;1.05.2022;Diversey Polska Sp. z.o.o.;"1) 173 g/kg; 2) 520 g/kg";"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4); 2) Komisjoni rakendusmäärus (EL) 2017/2001 (TL 1, 2, 4)"
GLOBACID SF;"1) Didetsüüldimetüülammooniumkloriid; 2) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin";"1) 7173-51-5; 2) 2372-82-9";Tooteliik 2, 3, 4;31.12.2024;Goodpoint Chemicals OÜ;"1) 6%; 2) 5,5%";Tavatarbija ja kutsealaseks kasutamiseks
"enMotion Antibakteriaalne vahuseep; (enMotion Antibacterial Foam Soap)";Polü(heksametüleenbiguaniid);91403-50-8;Tooteliik 1;31.12.2024;Georgia-Pacific Nordic Oy;2 mg/g;
"enMotion Käte desinfitseerimisvaht; (enMotion Foam Hand Sanitizer)";"1) Vesinikperoksiid; 2) Etanool";"1) 7722-84-1; 2) 64-17-5";Tooteliik 1;31.12.2024;Georgia-Pacific Nordic Oy;"1) 8,5 mg/g; 2) 0,35 g/g";1) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)
"Soft Care Sensisept 2,4%; Alates: 3.10.2012; Soft Care Sensisept H34";D-glükoonhappe ja N,N″-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1);18472-51-0;Tooteliik 1;31.12.2024;Diversey Polska Sp. z.o.o.;24 g/kg;Kutsealaseks ja tööstuslikuks kasutamiseks
Divosan Forte;"1) Peräädikhape; 2) Vesinikperoksiid";"1) 79-21-0; 2) 7722-84-1";Tooteliik 2, 4;1.10.2020;Diversey Polska Sp. z.o.o.;"1) 150 g/kg; 2) 230 g/kg";"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6); 2) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)"
Desinfect Maxi;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 3, 4;31.12.2024;Novadan;0,075;Tööstuslikuks kasutamiseks
Oxidan Special 150;Peräädikhape;79-21-0;"Tooteliik 3, 4; Alates 19.03.2019; Tooteliik 2, 3, 4, 5";1.10.2020;Novadan;150 g/kg;"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6)"
SURFANIOS Premium;"1) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin; 2) Didetsüüldimetüülammooniumkloriid";"1) 2372-82-9; 2) 7173-51-5";Tooteliik 2;31.12.2024;Hygeia OÜ;"1) 51 mg/g; 2) 25 mg/g";Kutsealaseks ja tööstuslikuks kasutamiseks
Doctan Classic;Ikaridiin;119515-38-7;Tooteliik 19;31.12.2024;ConVet GmbH & Co.KG;0,2;
Doctan Active;Ikaridiin;119515-38-7;Tooteliik 19;31.12.2024;ConVet GmbH & Co.KG;0,2;
Doctan Kinder;Ikaridiin;119515-38-7;Tooteliik 19;31.12.2024;ConVet GmbH & Co.KG;0,2;
Anti-Tick;Ikaridiin;119515-38-7;Tooteliik 19;31.12.2024;Diagnostica Baltica OÜ;0,0535;
Promex™ Na20TS;1,2-bensisotiasool-3(2H)-oon;2634-33-5;Tooteliik 6;31.12.2024;"Prom Chem Ltd; Alates: 12.04.2018; Vink Chemicals GmbH & Co. KG";194,65 g/kg;Kutsealaseks ja tööstuslikuks kasutamiseks
Promex™ CP0780A;"1) 5-kloro-2-metüül-2H- isotiasool-3-ooni ja 2-metüül-2H-isotiasool-3-ooni (vahekorras 3 : 1) sisaldav reaktsioonisegu; 2) Bronopool";"1) 55965-84-9; 2) 52-51-7";Tooteliik 6;31.12.2024;"Prom Chem Ltd; Alates: 12.04.2018; Vink Chemicals GmbH & Co. KG";"1) 7,5 g/kg; 2) 80 g/kg";"Kutsealaseks ja tööstuslikuks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
Promex™ CHS3;"1) (Etüleendioksü)dimetanool (etüleenglükooli ja paraformaldehüüdi reaktsiooni saadused (EGForm)); 2) 5-kloro-2-metüül-2H- isotiasool-3-ooni ja 2-metüül-2H-isotiasool-3-ooni (vahekorras 3 : 1) sisaldav reaktsioonisegu";"1) 3586-55-8; 2) 55965-84-9";Tooteliik 6;31.12.2024;"Prom Chem Ltd; Alates: 12.04.2018; Vink Chemicals GmbH & Co. KG";"1) 170 g/kg; 2) 7,504 g/kg";"Kutsealaseks ja tööstuslikuks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
Melclorite 70/20;Kaltsiumhüpoklorit;7778-54-3;Tooteliik 2;1.01.2022;Melspring International b.v.;min 70% aktiivne Cl;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1274"
Melclorite 70/G;Kaltsiumhüpoklorit;7778-54-3;Tooteliik 2;1.01.2022;Melspring International b.v.;min 70% aktiivne Cl;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1274"
Meldiclor 63/G;Naatriumtrokloseen;2893-78-9;Tooteliik 2;31.12.2024;Melspring International b.v.;min 60% aktiivne Cl;Tavatarbija ja kutsealaseks kasutamiseks
MUSCID FLY BOARD;Atseetamipriid;135410-20-7 / 160430-64-8;Tooteliik 18;1.02.2020;Kwizda-France;44 g/kg;Komisjoni rakendusmäärus (EL) 2018/1129
MUSCID 5 GB;"1) Atseetamipriid; 2) cis-trikos-9-een";"1) 135410-20-7 / 160430-64-8; 2) 27519-02-4";Tooteliik 18, 19;1.02.2020;Kwizda-France;"1) 5 g/kg; 2) 0,6 g/kg";"1) Komisjoni rakendusmäärus (EL) 2018/1129; 2) Komisjoni direktiiv 2012/38/EL (TL19)"
MUSCID 83 SG;"1) Atseetamipriid; 2) cis-trikos-9-een";"1) 135410-20-7 / 160430-64-8; 2) 27519-02-4";Tooteliik 18, 19;1.02.2020;Kwizda-France;"1) 83,3 g/kg; 2) 0,5 g/kg";"1) Komisjoni rakendusmäärus (EL) 2018/1129; 2) Komisjoni direktiiv 2012/38/EL (TL19)"
Naatriumhüpoklorit 15%;Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 3, 4, 5;1.01.2022;KemiMet International OÜ;14-15% aktiivkloori;"Kutsealaseks ja tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2017/1273"
Suredis;N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin;2372-82-9;Tooteliik 2, 4;31.12.2024;Diversey Polska Sp. z.o.o.;16.5 g/kg;Kutsealaseks ja tööstuslikuks kasutamiseks
Divosan Activ;"1) Peräädikhape; 2) Vesinikperoksiid";"1) 79-21-0; 2) 7722-84-1";Tooteliik 2, 4;1.10.2020;Diversey Polska Sp. z.o.o.;"1) 5,4 %; 2) 23,3 %";"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6); 2) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)"
ANIOSRUB 85 NPC;Etanool;64-17-5;Tooteliik 1;31.12.2024;Hygeia OÜ;700 mg/g;Kutsealaseks ja tööstuslikuks kasutamiseks
Sanosil S010 Ag;"1) Vesinikperoksiid; 2) Hõbe";"1) 7722-84-1; 2) 7440-22-4";Tooteliik 2, 4, 5, 11;31.12.2024;Diagnostica Baltica OÜ;"1) 5%; 2) 0,01%";1) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)
SURFA’SAFE;"1) Didetsüüldimetüülammooniumkloriid; 2) N,N‴-1,6-heksaandiüülbis[N′-tsüanoguanidiini] (Einecs 240-032-4) ja heksametüleendiamiini (Einecs 204-679-6) polümeeri monovesinikkloriid/ polüheksametüleenbiguaniid (monomeer: 1,5-bis(trimetüleen)-guanüülguanidiiniummonovesinikkloriid";"1) 7173-51-5; 2) 27083-27-8 / 32289-58-0";Tooteliik 2;31.12.2024;Hygeia OÜ;"1) 0,14%; 2) 0,096%";"Kutsealaseks ja tööstuslikuks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2016/125 (TL2, 3, 11)"
ANIOSGEL 85 NPC;Etanool;64-17-5;Tooteliik 1;31.12.2024;Hygeia OÜ;700 mg/g;Kutsealaseks ja tööstuslikuks kasutamiseks
Sanosil S015 Ag;"1) Vesinikperoksiid; 2) Hõbe";"1) 7722-84-1; 2) 7440-22-4";Tooteliik 2, 4, 5, 11;31.12.2024;Diagnostica Baltica OÜ;"1) 7,5%; 2) 0,0075%";1) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)
Bluetoo;Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid;68424-85-1;Tooteliik 2;31.12.2024;Alfa Eesti OÜ;3,3 ml/l;
Bogacare® ANTI-PARASIT kaelarihm koer/kass;"1) Sirelmeelia, ekstrakt; 2) Geraniool";"1) 84696-25-3; 2) 106-24-1";Tooteliik 19;31.12.2024;Maxx Pharma OÜ;"1) 2,5%; 2) 2,5%";"1) Komisjoni rakendusmäärus (EL) 2017/2005; Komisjoni direktiiv 2012/15/EL"
Sanosil S003 Ag;"1) Vesinikperoksiid; 2) Hõbe";"1) 7722-84-1; 2) 7440-22-4";Tooteliik 2, 4, 5, 11;31.12.2024;Diagnostica Baltica OÜ;"1) 1,5%; 2) 0,003%";1) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)
FINK - Lactic Dip;L-(+)-piimhape;79-33-4;Tooteliik 3;1.05.2022;Fink Tec GmbH;10 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002 (TL 2, 3, 4)"
FINK - Lactic Spray;L-(+)-piimhape;79-33-4;Tooteliik 3;1.05.2022;Fink Tec GmbH;10 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002 (TL 2, 3, 4)"
TRESOLIN WIPES;"1) N,N```-1,6-heksaandiüülbis(N´-tsüanoguanidiini ) (EINECS 240-032-4) ja heksametüleendi-amiini (EINECS 240-679-6) polümeeri monohüdrokloriid / polüheksametüleen biguaniid (monomeer: 1,5-bis(trimetüleen)-guanüülguanidiin monohüdrokloriid); 2) Kvaternaarsete ammooniumühendite, bensüül-C12-16-alküüldimetüülkloriidid";"1) 27083-27-8; 2) 68424-85-1";Tooteliik 4;31.12.2024;Ecolab SIA;"1) 0,18%; 2) 0,39%";"Kutsealaseks ja tööstuslikuks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/124 (TL4)"
GLOBAQUAT RTU;"1) C12-16-alküüldimetüülbensüülammooniumkloriid; 2) Didetsüüldimetüülammooniumkloriid; 3) C12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid";"1) 68424-85-1; 2) 7173-51-5; 3) 85409-23-0";Tooteliik 2, 3, 4;31.12.2024;Goodpoint Chemicals OÜ;0,0075;Tavatarbija ja kutsealaseks kasutamiseks
Loctite Hygiene Spray;"1) Kvaternaarsete bensüül-C12-14-alküüldimetüülammooniumiühendite kloriidid; 2) Bifenüül-2-ool; Alates 03.06.2019; 1) C12-16-alküüldimetüülbensüülammooniumkloriid; 2) Bifenüül-2-ool";"1) 85409-22-9; 2) 90-43-7; Alates 03.06.2019; 1) 68424-85-1; 2) 90-43-7";Tooteliik 2;31.12.2024;Henkel Balti OÜ;"1) 0,08%; 2) 0,03%";"Tavatarbija ja kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2016/105 (TL1, 2, 4, 6, 13)"
GLOBAQUAT WIPES;"1) C12-16-alküüldimetüülbensüülammooniumkloriid; 2) Didetsüüldimetüülammooniumkloriid; 3) C12–14-alküüldimetüül(etüülbensüül)ammooniumkloriid";"1) 68424-85-1; 2) 7173-51-5; 3) 85409-23-0";Tooteliik 2, 3, 4;31.12.2024;Goodpoint Chemicals OÜ;0,0075;Tavatarbija ja kutsealaseks kasutamiseks
Cutasept F;"1) Propaan-2-ool / isopropanool; 2) Kvaternaarne ammooniumsool, bensüül C12-18 alküüldimetüülkloriid";"1) 67-63-0; 2) 68391-01-5";Tooteliik 1;31.12.2024;BODE Chemie GmbH;"1) 63%; 2) 0,025%";"Tarbija ja kutsealaseks kasutamiseks; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
"MICRON 99 White- YBC100; MICRON 99 Blue- YBC101; MICRON 99 Green- YBC102; MICRON 99 Navy- YBC103; MICRON 99 Red- YBC104; MICRON 99 Black- YBC106";"1) Divaskoksiid; 2) Bis(1-hüdroksü-1H-püridiin-2-tionato-O,S)vask";"1) 1317-39-1; 2) 14915-37-8";Tooteliik 21;1.01.2021;International Paint Ltd.;"1) 32,9 -47,4%; 2) 3,3 - 4,8 %";"Amatöör ja kutsealaseks kasutamiseks; Taotlus kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1089; 2) Komisjoni rakendusmäärus (EL) 2015/419"
KAY Surface Sanitizer;Didetsüüldimetüülammoniumkloriid;7173-51-5;Tooteliik 4;31.12.2024;KAY NV;0,045;Kutsealaseks kasutamiseks
Trilux 33 Red - YBA069;"1) Vasktiotsüanaat; 2) Tsinkpüritioon;";"1) 1111-67-7; 2) 13463-41-7";Tooteliik 21;31.12.2024;International Paint Ltd.;"1) 244,66 g/l; 2) 51,72 g/l";"Amatöör ja kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1090 (TL 21)"
Trilux 33 Navy - YBA065;"1) Vasktiotsüanaat; 2) Tsinkpüritioon;";"1) 1111-67-7; 2) 13463-41-7";Tooteliik 21;31.12.2024;International Paint Ltd.;"1) 231,8 g/l ; 2) 49 g/l";"Amatöör ja kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1090 (TL 21)"
Trilux 33 White - YBA064;"1) Vasktiotsüanaat; 2) Tsinkpüritioon;";"1) 1111-67-7; 2) 13463-41-7";Tooteliik 21;31.12.2024;International Paint Ltd.;"1) 266,9 g/l; 2) 56,43 g/l";"Amatöör ja kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1090 (TL 21)"
Trilux 33 Blue - YBA071;"1) Vasktiotsüanaat; 2) Tsinkpüritioon;";"1) 1111-67-7; 2) 13463-41-7";Tooteliik 21;31.12.2024;International Paint Ltd.;"1) 272,73 g/l; 2) 57,65 g/l";"Tarbija ja kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1090 (TL 21)"
REMIDES;"1) Propaan-2-ool / isopropanool; 2) Propaan-1-ool; 3) Kvaternaarsete ammooniumühendite, bensüül-C12-16-alküüldimetüülkloriidid";"1) 67-63-0; 2) 71-23-8; 3) 68424-85-1";Tooteliik 2, 4;31.12.2024;Besur OÜ;"1) 35%; 2) 35%; 3) 0,02%";"Kutsealaseks kasutamiseks; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4); 2) Komisjoni rakendusmäärus (EL) 2017/2001 (TL 1, 2, 4)"
"Ajax Disinfection 2 in 1; Alates 23.09.2016; Ajax Disinfection;";Naatriumhüpoklorit;7681-52-9;Tooteliik 2, 4;1.01.2022;Colgate-Palmolive (Latvia) Ltd;"0,92 - 1,58 g/100g; Alates 23.09.2016; 1 g/100g";"Tarbija kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
"RP WOOD; Alates 11.05.2017; RP WOOD ; OKKO puidu antiseptik;";"1) C12–16-alküül-dimetüülbensüülammooniumkloriid ; 2) Boorhape; Alates 11.05.2017; 1) C12–16-alküül-dimetüülbensüülammooniumkloriid ; 2) Boorhape; 3) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin (diamiin)";"1) 68424-85-1; 2) 10043-35-3; Alates 11.05.2017; 1) 68424-85-1; 2) 10043-35-3; 3) 2372-82-9";Tooteliik 8;31.12.2024;RP Būve Ltd;"1) 1,125%; 2) 1,125%; Alates 11.05.2017; 1) 11,25 g/kg; 2) 11,25 g/kg; 3) 0,02 g/kg";"Tarbija kasutamiseks; Komisjoni direktiiv 2009/94/EÜ; Komisjoni direktiiv 2013/7/EL"
PROTECT®COMBI musta sipelga söödatoos;"1) Atseetamipriid; 2) S-metopreen";"1) 135410-20-7 / 160430-64-8 ; 2) 65733-16-6";Tooteliik 18;1.02.2020;Patrix Capital OÜ;"1) 0,1%; 2) 0,25%";"1) Komisjoni rakendusmäärus (EL) 2018/1129; 2) Komisjoni rakendusmäärus (EL) nr. 91/2014"
KAY-5 Sanitizer;Naatriumdikloroisotsüanuraadi dihüdraat;51580-86-0;Tooteliik 4;31.12.2024;KAY NV;0,06;Kutsealaseks kasutamiseks
KAY Sink Sanitizer;Naatriumdikloroisotsüanuraadi dihüdraat;51580-86-0;Tooteliik 4;31.12.2024;KAY NV;0,2385;Kutsealaseks kasutamiseks
"BIOLIT electric evaporator set with timer (liquid refill against mosquitoes); BIOLIT reserve liquid refill against mosquitoes 60 nights; Sääse fumigaator timeriga Biolit+vedelik 60 ööd_46ml; Sääse fumigaatori Biolit täitevedelik 60 ööd_46ml";"(RS)-3-allüül-2-metüül-4-oksotsüklopent-2-enüül-(1R,3R)-2,2-dimetüül-3-(2-metüülprop-1-enüül)-tsüklopropaankarboksülaat (2 isomeeri segu: 1R-trans: ainult 1R/S; 1:3)/esbiotriin";260359-57-7;Tooteliik 18;31.12.2024;Lybar a.s.;30g/kg;
"BIOLIT reserve refill pads against mosquitoes; Sääse fumigaatori Biolit lisaplaadid";"(RS)-3-allüül-2-metüül-4-oksotsüklopent-2-enüül-(1R,3R)-2,2-dimetüül-3-(2-metüülprop-1-enüül)-tsüklopropaankarboksülaat (2 isomeeri segu: 1R-trans: ainult 1R/S; 1:3)/esbiotriin";260359-57-7;Tooteliik 18;31.12.2024;Lybar a.s.;22 mg plaadis;
"MICRON EXTRA EU WHITE – YBB600; MICRON EXTRA EU RED – YBB601; MICRON EXTRA EU BLUE – YBB602; MICRON EXTRA EU NAVY – YBB603; MICRON EXTRA EU BLACK – YBB604 ; MICRON EXTRA EU GREEN – YBB605; MICRON EXTRA EU GREY – YBB606;";"1) Divaskoksiid; 2) Bis(1-hüdroksü-1H-püridiin-2-tionato-O,S)vask";"1) 1317-39-1; 2) 14915-37-8";Tooteliik 21;1.01.2021;International Paint Ltd.;"1) 32,13-34,28 %; 2) 1-2,75%";"Amatöör ja kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1089; 2) Komisjoni rakendusmäärus (EL) 2015/419"
SPIRIGEL COMPLETE;Etanool;64-17-5;Tooteliik 1;31.12.2024;"Ecolab Deutschland GmbH; Alates 31.01.2018: ; Ecolab sp. z o.o.";85 g/100g;Kutsealaseks kasutamiseks.
FINK – Antisept P5;"1) Peräädikhape; 2) Vesinikperoksiid";"1) 79-21-0; 2) 7722-84-1";Tooteliik 4;1.10.2020;Fink Tec GmbH;"1) 5 g/100g; 2) 27 g/100g";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6); 2) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)"
Vitrino ® 650;Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;Fink Tec GmbH;3,2 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
FINK Spül-ASS ® A ;Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;Fink Tec GmbH;4,5 g/100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
"CRUISER UNO EU WHITE - YBB800 ; CRUISER UNO EU RED - YBB801 ; CRUISER UNO EU BLUE - YBB802 ; CRUISER UNO EU NAVY - YBB803; CRUISER UNO EU BLACK - YBB804;";Divaskoksiid;1317-39-1;Tooteliik 21;1.01.2021;International Paint Ltd.;29,27-35,49 %;"Tavatarbija ja kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2016/1089"
"ULTRA EU DOVER WHITE - YBB700;; ULTRA EU RED - YBB701;; ULTRA EU BLUE - YBB702; ; ULTRA EU NAVY - YBB703; ; ULTRA EU BLACK - YBB704; ; ULTRA EU GREEN - YBB705; ; ULTRA EU GREY - YBB706";"1) Divaskoksiid; 2) Bis(1-hüdroksü-1H-püridiin-2-tionato-O,S)vask";"1) 1317-39-1; 2) 14915-37-8";Tooteliik 21;1.01.2021;International Paint Ltd.;"1) 30,96-31,33%; 2) 1-2,76%";"Amatöör ja kutsealaseks kasutamiseks; Taotlus kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1089; 2) Komisjoni rakendusmäärus (EL) 2015/419"
Bogadual® ANTI-PARASIT Spot-on Dog/Cat;"1) Sirelmeelia (margosa) ekstrakt; 2) Etüül-N-atsetüül-N-butüül-b-alaninaat / IR3535";"1) 84696-25-3; 2) 52304-36-6";Tooteliik 19;1.04.2019;Maxx Pharma OÜ;"1) 20%; 2) 15%";"1) Komisjoni rakendusmäärus (EL) 2017/2005; 2) Komisjoni rakendusmäärus nr 406/2014"
Nova LA Spray;L-(+)-piimhape;79-33-4;Tooteliik 3;1.05.2022;Novadan;0,013;"Tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/2002 (TL 2, 3, 4)"
TASKI Sani 4in1 conc;Salitsüülhape;69-72-7;Tooteliik 2;31.12.2024;Diversey Polska Sp. z.o.o.;30 g/kg;Kutsealaseks ja tööstuslikuks kasutamiseks
TASKI Sani 4in1 Spray;Salitsüülhape;69-72-7;Tooteliik 2;31.12.2024;Diversey Polska Sp. z.o.o.;1 g/kg;Kutsealaseks ja tööstuslikuks kasutamiseks
P3-ALCODES;Etanool;64-17-5;Tooteliik 4;31.12.2024;"Ecolab SIA; Alates 30.01.2018; Ecolab sp. z o.o.";77 g/100g;Kutsealaseks ja tööstuslikuks kasutamiseks
ALCODES WIPES;Etanool;64-17-5;Tooteliik 4;31.12.2024;Ecolab SIA;770 g/kg;Kutsealaseks ja tööstuslikuks kasutamiseks
P3-HYPOCHLORAN;Naatriumhüpokloritist vabanenud aktiivkloor / Naatriumhüpoklorit;7681-52-9;"Tooteliik 4, 11; Alates 14.12.2018; Tooteliik 4";1.01.2022;"Ecolab SIA; Alates 31.01.2018; Ecolab sp. z o.o.";"9 g/100g; Alates 14.12.2018; 9,7 g/100g";"Kutsealaseks ja tööstuslikuks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273 (TL4)"
P3-OXYSAN ZS;"1) Peräädikhape; 2) Peroksüoktaanhape";"1) 79-21-0; 2) 33734-57-5";Tooteliik 3, 4;31.12.2024;"Ecolab SIA; Alates 31.01.2018; Ecolab sp. z o.o.";"1) 8 g/100g; 2) 0,6 g/100g";"Kutsealaseks ja tööstuslikuks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6)"
VIROCID;"1) C12–16-alküüldimetüülbensüülammooniumkloriid; 2) Didetsüüldimetüülammooniumkloriid; 3) Glutaraal (glutaaraldehüüd) ;";"1) 68424-85-1; 2) 7173-51-5; 3) 111-30-8";"Tooteliik 3; Alates 31.10.2011:; Tooteliik 2, 3, 4";31.12.2024;CID LINES NV;"1) 170,6 g/l ; 2) 78 g/l; 3) 107,3 g/l";"Kutsealaseks kasutamiseks; 3) Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11 ja 12)"
KICKSTART;"1) Peräädikhape; 2) Vesinikperoksiid";"1) 79-21-0; 2) 7722-84-1";Tooteliik 3;1.10.2020;CID LINES NV;"1) 5%; 2) 20%";"Kutsealaseks kasutamiseks; Liidu loa taotlus; 1) Komisjoni rakendusmäärus (EL) 2016/672 (TL 1, 2, 3, 4, 5, 6); 2) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)"
DM CID;Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;CID LINES NV;45,6 g/l;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
DM CID-S;Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;CID LINES NV;0,042;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
